Feature,Gain
int_rev_growth_2025_ihs_x_price_to_book_ihs,3.267063856124878
rev_growth_2025_ihs,1.7119520902633667
int_rev_growth_2025_ihs_x_ev_to_ebitda_ihs,1.4868983030319214
stock_volatility_ihs,1.197593331336975
price_to_book_ihs,1.1514756679534912
int_price_to_earnings_ihs_x_rev_growth_2025_ihs,1.0911411046981812
roic_ihs,1.0372425317764282
momentum_2024_ihs,1.0169219970703125
ebit_growth_2025_ihs,0.9934751987457275
ev_to_ebitda_ihs,0.9565553665161133
google_trends_ihs,0.9238784313201904
int_ev_to_ebitda_ihs_x_price_to_book_ihs,0.8943603038787842
debt_to_assets_ihs,0.8452441692352295
int_momentum_2024_ihs_x_valuation_gap_ihs,0.7997245788574219
valuation_gap_ihs,0.7583040595054626
earnings_surprise_ihs,0.7362224459648132
3_mth_momentum_ihs,0.7300482988357544
price_to_earnings_ihs,0.6999549269676208
int_debt_to_assets_ihs_x_price_to_book_ihs,0.617361843585968
